,site_id,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,hour,month
site_id,1.0,-0.17000245223330498,-0.04397310288933668,-0.13288811566691636,-0.012913579531769765,-0.007237979481658079,0.03066882052866462,0.01237574301191632,0.0008685398514051302,0.0012887983556345312
air_temperature,-0.17000245223330498,1.0,0.04651989507615535,0.6224959509379472,-0.004448670587387155,-0.15948705757026008,-0.07069513822315031,-0.031410547194897206,0.0845838107024119,0.12261679199887664
cloud_coverage,-0.04397310288933668,0.04651989507615535,1.0,0.16892684192007784,-0.017609581401194622,-0.09246832350786005,0.042698446530946677,0.20711715363580382,0.04580766898225432,-0.007598111835727035
dew_temperature,-0.13288811566691636,0.6224959509379472,0.16892684192007784,1.0,0.025591091120413172,-0.10187695430772103,-0.10316839470465812,-0.06261907818354949,0.0006348423401669291,0.16475002502542044
precip_depth_1_hr,-0.012913579531769765,-0.004448670587387155,-0.017609581401194622,0.025591091120413172,1.0,-0.05264537470859159,-0.02288627888193956,-0.015680218557569212,0.0015572692584153074,0.019329961491563054
sea_level_pressure,-0.007237979481658079,-0.15948705757026008,-0.09246832350786005,-0.10187695430772103,-0.05264537470859159,1.0,-0.0679113424824455,-0.14816997786312544,-0.0023783928364013566,0.08042752185109192
wind_direction,0.03066882052866462,-0.07069513822315031,0.042698446530946677,-0.10316839470465812,-0.02288627888193956,-0.0679113424824455,1.0,0.24432895543744068,0.031956517297323975,-0.02018799129354866
wind_speed,0.01237574301191632,-0.031410547194897206,0.20711715363580382,-0.06261907818354949,-0.015680218557569212,-0.14816997786312544,0.24432895543744068,1.0,0.10893829920183642,-0.05167397303691193
hour,0.0008685398514051302,0.0845838107024119,0.04580766898225432,0.0006348423401669291,0.0015572692584153074,-0.0023783928364013566,0.031956517297323975,0.10893829920183642,1.0,-0.00024332258145966362
month,0.0012887983556345312,0.12261679199887664,-0.007598111835727035,0.16475002502542044,0.019329961491563054,0.08042752185109192,-0.02018799129354866,-0.05167397303691193,-0.00024332258145966362,1.0
