,site_id,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,hour,month
site_id,1.0,-0.26274598944956884,0.021002790558731835,-0.20450124205918746,0.020268893607352935,-0.009192987810654092,0.045021448298446225,0.027687914327190734,0.0012404037519087845,0.0018100945563399038
air_temperature,-0.26274598944956884,1.0,0.01014897631574409,0.7903863481144502,-0.01071873921530007,-0.20931729602667173,-0.09323960660007705,-0.05674340911221816,0.12205663866055651,0.18508297592321266
cloud_coverage,0.021002790558731835,0.01014897631574409,1.0,0.18360626485870823,0.12225334970669971,-0.15836100853964635,0.05255974345257338,0.2940186029610053,0.035881087346699765,-0.018087794843950823
dew_temperature,-0.20450124205918746,0.7903863481144502,0.18360626485870823,1.0,0.065881050226882,-0.1687589570195111,-0.14903316475760708,-0.09683564838451322,-1.906466038915033e-05,0.2416087553407679
precip_depth_1_hr,0.020268893607352935,-0.01071873921530007,0.12225334970669971,0.065881050226882,1.0,-0.0813432776768902,-0.013160738685274427,0.0350232284525609,0.009653997792356143,0.00364192984075281
sea_level_pressure,-0.009192987810654092,-0.20931729602667173,-0.15836100853964635,-0.1687589570195111,-0.0813432776768902,1.0,-0.1030020832870179,-0.25160201543037347,-0.0009090922028222573,0.12816233099032603
wind_direction,0.045021448298446225,-0.09323960660007705,0.05255974345257338,-0.14903316475760708,-0.013160738685274427,-0.1030020832870179,1.0,0.35469015191265946,0.04839677755603615,-0.028898727883723344
wind_speed,0.027687914327190734,-0.05674340911221816,0.2940186029610053,-0.09683564838451322,0.0350232284525609,-0.25160201543037347,0.35469015191265946,1.0,0.14594690277162062,-0.08139854921407881
hour,0.0012404037519087845,0.12205663866055651,0.035881087346699765,-1.906466038915033e-05,0.009653997792356143,-0.0009090922028222573,0.04839677755603615,0.14594690277162062,1.0,-0.00034375712545765884
month,0.0018100945563399038,0.18508297592321266,-0.018087794843950823,0.2416087553407679,0.00364192984075281,0.12816233099032603,-0.028898727883723344,-0.08139854921407881,-0.00034375712545765884,1.0
