,site_id,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,hour,month
site_id,1.0,-0.24543651849492706,-0.04875659213788489,-0.19499353064187835,-0.01612001580640743,-0.010278719058831782,0.043184787974752926,0.0165445036768258,0.0012383799998311486,0.0018016785163859274
air_temperature,-0.24543651849492706,1.0,0.06274945364737924,0.774323083828307,-0.005449748201725877,-0.22693307559647385,-0.10426002670625077,-0.04555775904506581,0.12297758616352536,0.17559626655922603
cloud_coverage,-0.04875659213788489,0.06274945364737924,1.0,0.22942113477222772,-0.01886724105033518,-0.12305276344886007,0.05833202130035301,0.2670972175023857,0.061188468063016796,-0.00947841448564223
dew_temperature,-0.19499353064187835,0.774323083828307,0.22942113477222772,1.0,0.031722717141234064,-0.15346433125239622,-0.15034746086672415,-0.08970099401589145,0.0009049070623678406,0.23416190624871713
precip_depth_1_hr,-0.01612001580640743,-0.005449748201725877,-0.01886724105033518,0.031722717141234064,1.0,-0.06605017179852092,-0.028218211046402195,-0.019089397063465362,0.001895864125899143,0.023197223154825683
sea_level_pressure,-0.010278719058831782,-0.22693307559647385,-0.12305276344886007,-0.15346433125239622,-0.06605017179852092,1.0,-0.09944148363963162,-0.21313387275541068,-0.0033414461896305574,0.1062839296348644
wind_direction,0.043184787974752926,-0.10426002670625077,0.05833202130035301,-0.15034746086672415,-0.028218211046402195,-0.09944148363963162,1.0,0.33961010200610886,0.04504164790539364,-0.027497958365786182
wind_speed,0.0165445036768258,-0.04555775904506581,0.2670972175023857,-0.08970099401589145,-0.019089397063465362,-0.21313387275541068,0.33961010200610886,1.0,0.1563953528519691,-0.07107347348995817
hour,0.0012383799998311486,0.12297758616352536,0.061188468063016796,0.0009049070623678406,0.001895864125899143,-0.0033414461896305574,0.04504164790539364,0.1563953528519691,1.0,-0.00034360780930439315
month,0.0018016785163859274,0.17559626655922603,-0.00947841448564223,0.23416190624871713,0.023197223154825683,0.1062839296348644,-0.027497958365786182,-0.07107347348995817,-0.00034360780930439315,1.0
